AthleteID,FullName,Gender],CountryID
1,"""AHLUND  Olof """"Olle""""""",Men,SWE
2,"""BODZIAK  Ericleia """"Filo""""""",Women,BRA
3,"""BSING  Wilhelm """"Willy""""""",Men,GER
4,"""DESJARDINS  Ulise Joseph """"Peter""""""",Men,USA
5,"""HENRY  Ludi """"Lea""""""",Women,USA
6,"""JEROME  Henry Winston """"Harry""""""",Men,CAN
7,"""RADKE  Karoline """"Lina""""""",Women,GER
8,"""SCHMIDT  Helene """"Leni""""""",Women,GER
9,├ûBERG  Carl-G├Âran,Men,SWE
10,├ûBERG  Hans Andreas,Men,SWE
11,├ûBERG  Sigfrid,Men,SWE
12,├ûDEGAARD  Reidar,Men,NOR
13,├ûHLING  Jens,Men,SWE
14,├ûHRLUND  Uno,Men,SWE
15,├ûKERN  Olav,Men,NOR
16,├ûRNSKOG  Stefan,Men,SWE
17,├ûSTBY  Einar,Men,NOR
18,├ûSTENSSON  Nils,Men,SWE
21,AAHLBERG  Mats,Men,SWE
22,AAHLEN  Thomas,Men,SWE
23,AALAND  Per Knut,Men,NOR
24,AALTONEN  Arvo Ossian,Men,FIN
25,AALTONEN  Juhamatti,Men,FIN
26,AALTONEN  Paavo Johannes,Men,FIN
27,AAMODT  Kjetil Andre,Men,NOR
28,AAMODT  Ragnhild,Women,NOR
29,AANING  Alf Lied,Men,NOR
30,AARDENBURG  Willemien,Women,NED
31,AARDEWIJN  Pepijn,Men,NED
32,AARONES  Ann Kristin,Women,NOR
33,AAS  Karl Jan,Men,NOR
34,AAS  Roald,Men,NOR
35,AAS  Thomas Valentin,Men,NOR
36,AASLIN  Peter,Men,SWE
37,ABAJO  Jose Luis,Men,ESP
38,ABAKUMOVA  Maria,Women,RUS
39,ABALMASAU  Aliaksei,Men,BLR
40,ABALO  Luc,Men,FRA
41,ABANDA ETONG  Patrice,Men,CMR
42,ABARCA  Jose Maria,Men,ESP
43,ABAS  Stephen,Men,USA
44,ABASCAL GARCIA  Alejandro,Men,ESP
45,ABASCAL GOMEZ  Jose Manuel,Men,ESP
46,ABASSOVA  Tamilla,Women,RUS
47,ABATI  Joel,Men,FRA
48,ABAY  Peter,Men,HUN
49,ABAY-NEMES  Oszkar,Men,HUN
50,ABBA  Silvano,Men,ITA
51,ABBAGNALE  Agostino,Men,ITA
52,ABBAGNALE  Carmine,Men,ITA
53,ABBAGNALE  Giuseppe,Men,ITA
54,ABBOTT  Des,Men,AUS
55,ABBOTT  Jeremy,Men,USA
56,ABBOTT  Margaret Ives,Women,USA
57,ABBOTT  Monica,Women,USA
58,ABDALLAH  Nia,Women,USA
59,ABDELAZIM  Tarek Yehia Fouad,Men,EGY
60,ABDO  Reema,Women,CAN
61,ABDOOLLAYEV  Mahammatkodir,Men,UZB
62,ABDUL  Hamid,Men,PAK
63,ABDUL  Rashid I,Men,PAK
64,ABDUL  Rashid III,Men,PAK
65,ABDUL  Rashid IV,Men,PAK
66,ABDUL  Waheed,Men,PAK
67,ABDULBEKOV  Zagalav,Men,URS
68,ABDULLAYEV  Namig,Men,AZE
69,ABDUR-RAHIM  Shareef,Men,USA
70,ABDUSALOMOV  Yusup,Men,TJK
71,ABDUVALIEV  Andrey,Men,EUN
72,ABE  Masashi,Men,JPN
73,ABEBE  Addis,Men,ETH
74,ABEGGLEN  Max,Men,SUI
75,ABEL  Clarence John,Men,USA
76,ABEL  George Gordon,Men,CAN
78,ABEL  Jennifer,Women,CAN
79,ABEL  Sten,Men,NOR
80,ABELARDO  Olivier,Men,ITA
81,ABELL  Louis,Men,USA
82,ABERA  Gezahegne,Men,ETH
83,Ã–BERG  Carl-GÃ¶ran,Men,SWE
84,ABERG  Georg,Men,SWE
85,Ã–BERG  Hans Andreas,Men,SWE
86,Ã–BERG  Sigfrid,Men,SWE
87,ABERNATHY  Brent,Men,USA
88,ABERNETHY  Moira,Women,RSA
